Sp,Country,Region,Pop,Indiv,Site,Block,Year,MISM,MISM.F1,TotSeeds.F1
Rco,NZ,S,RcoNZSA,RcoNZSA5,South,S1,2019,0.728,0.928,134887
Rco,NZ,W,RcoNZWA,RcoNZWA5,South,S3,2019,1.000,0.854,145769
Rco,UK,E,RcoUKEB,RcoUKEB5,South,S1,2019,1.318,0.751,21014
Rco,UK,Cw,RcoUKCwB,RcoUKCwB7,South,S3,2019,0.913,1.098,NA
Rco,UK,Cw,RcoUKCwC,RcoUKCwC10,South,S3,2019,1.364,1.065,182048
Rco,NZ,S,RcoNZSA,RcoNZSA3,South,S2,2019,1.040,1.035,210651
Rco,UK,G,RcoUKGB,RcoUKGB2,South,S3,2019,1.130,0.873,264335
Rco,NZ,S,RcoNZSC,RcoNZSC2,South,S3,2019,1.314,1.005,61268
Rco,UK,E,RcoUKEA,RcoUKEA3,South,S3,2019,1.000,0.647,29062
Rco,UK,Cb,RcoUKCbD,RcoUKCbD3,South,S3,2019,1.100,1.098,82711
Rco,UK,E,RcoUKEA,RcoUKEA5,South,S3,2019,1.250,0.799,15931
Rco,NZ,S,RcoNZSA,RcoNZSA2,South,S2,2019,0.636,0.922,233267
Rco,NZ,S,RcoNZSA,RcoNZSA2,South,S3,2019,0.636,0.890,161697
Rco,UK,Cw,RcoUKCwB,RcoUKCwB4,South,S3,2019,1.152,1.066,163748
Rco,UK,Cw,RcoUKCwB,RcoUKCwB4,South,S1,2019,1.152,0.913,42516
Rco,NZ,C,RcoNZCC,RcoNZCC8,South,S2,2019,0.678,0.932,88739
Rco,NZ,W,RcoNZWA,RcoNZWA5,South,S1,2019,1.000,0.980,190299
Rco,UK,E,RcoUKEA,RcoUKEA3,South,S1,2019,1.000,0.654,25364
Rco,UK,E,RcoUKEB,RcoUKEB1,South,S1,2019,1.636,1.068,57792
Rco,UK,E,RcoUKEB,RcoUKEB3,South,S2,2019,1.214,1.103,34422
Rco,NZ,C,RcoNZCB,RcoNZCB1,South,S2,2019,1.054,1.420,74438
Rco,UK,Cb,RcoUKCbD,RcoUKCbD9,South,S3,2019,1.100,1.068,142214
Rco,NZ,W,RcoNZWC,RcoNZWC1,South,S3,2019,1.086,1.046,125809
Rco,NZ,W,RcoNZWB,RcoNZWB1,South,S1,2019,0.981,1.155,162412
Rco,NZ,C,RcoNZCD,RcoNZCD4,South,S2,2019,1.364,1.127,120417
Rco,UK,G,RcoUKGB,RcoUKGB4,South,S3,2019,0.885,0.735,105860
Rco,UK,E,RcoUKEB,RcoUKEB9,South,S2,2019,1.524,1.094,66500
Rco,NZ,W,RcoNZWD,RcoNZWD1,South,S3,2019,1.444,1.039,40139
Rco,UK,Cw,RcoUKCwD,RcoUKCwD8,South,S1,2019,1.033,1.209,171919
Rco,UK,E,RcoUKEB,RcoUKEB4,South,S1,2019,1.417,0.535,NA
Rco,UK,E,RcoUKEA,RcoUKEA2,South,S1,2019,1.115,0.768,184158
Rco,NZ,W,RcoNZWD,RcoNZWD5,South,S1,2019,1.468,1.237,136077
Rco,NZ,C,RcoNZCC,RcoNZCC8,South,S3,2019,0.678,0.960,83077
Rco,NZ,S,RcoNZSB,RcoNZSB5,South,S1,2019,0.844,0.990,59109
Rco,UK,E,RcoUKEA,RcoUKEA4,South,S3,2019,1.167,0.665,50697
Rco,UK,Cw,RcoUKCwC,RcoUKCwC10,South,S2,2019,1.364,0.882,235091
Rco,UK,E,RcoUKEB,RcoUKEB1,South,S3,2019,1.636,0.935,67784
Rco,UK,G,RcoUKGA,RcoUKGA5,South,S1,2019,1.000,0.703,NA
Rco,NZ,S,RcoNZSA,RcoNZSA5,South,S2,2019,0.728,0.989,103626
Rco,NZ,S,RcoNZSD,RcoNZSD5,South,S3,2019,1.296,0.967,NA
Rco,NZ,W,RcoNZWD,RcoNZWD5,South,S3,2019,1.468,1.382,NA
Rco,UK,Cb,RcoUKCbC,RcoUKCbC7,South,S3,2019,1.000,0.921,116008
Rco,NZ,C,RcoNZCC,RcoNZCC9,South,S3,2019,0.723,1.384,138107
Rco,UK,Cb,RcoUKCbA,RcoUKCbA1,South,S2,2019,1.071,0.801,75857
Rco,UK,Cb,RcoUKCbD,RcoUKCbD2,South,S1,2019,0.821,1.124,435015
Rco,UK,Cb,RcoUKCbA,RcoUKCbA8,South,S1,2019,0.862,0.885,NA
Rco,UK,E,RcoUKEB,RcoUKEB3,South,S3,2019,1.214,1.023,38306
Rco,NZ,S,RcoNZSD,RcoNZSD1,South,S1,2019,1.196,1.086,162403
Rco,NZ,C,RcoNZCB,RcoNZCB5,South,S2,2019,0.839,1.119,5440
Rco,UK,Cw,RcoUKCwA,RcoUKCwA8,South,S3,2019,1.438,0.948,251462
Rco,UK,E,RcoUKEB,RcoUKEB9,South,S3,2019,1.524,0.981,NA
Rco,NZ,W,RcoNZWD,RcoNZWD3,South,S1,2019,1.228,1.136,240294
Rco,UK,Cw,RcoUKCwB,RcoUKCwB3,South,S3,2019,0.977,0.962,159405
Rco,NZ,C,RcoNZCC,RcoNZCC8,South,S1,2019,0.678,0.991,89118
Rco,NZ,C,RcoNZCC,RcoNZCC9,South,S1,2019,0.723,1.116,116097
Rco,NZ,S,RcoNZSC,RcoNZSC5,South,S3,2019,1.150,1.084,NA
Rco,NZ,W,RcoNZWC,RcoNZWC3,South,S3,2019,1.068,1.267,126794
Rco,UK,Cb,RcoUKCbA,RcoUKCbA9,South,S1,2019,1.071,1.148,147591
Rco,UK,Cb,RcoUKCbC,RcoUKCbC9,South,S3,2019,0.958,0.876,297346
Rco,UK,Cb,RcoUKCbD,RcoUKCbD6,South,S3,2019,1.111,1.058,59977
Rco,NZ,C,RcoNZCC,RcoNZCC10,South,S2,2019,0.357,0.841,91800
Rco,NZ,S,RcoNZSA,RcoNZSA1,South,S2,2019,0.723,1.084,224602
Rco,UK,E,RcoUKEA,RcoUKEA5,West,W1,2019,1.250,1.353,10613
