ANO;TIPO;VALOR
0;Investimento;1324879.09
1;Custos Variaveis;103013.07
2;Custos Variaveis;72555.8
3;Custos Variaveis;43337.15
4;Custos Variaveis;43337.15
5;Custos Variaveis;43337.15
6;Custos Variaveis;43337.15
7;Custos Variaveis;370642.1
7;Receita;1456000
7;Imposto;99060.08
8;Custos Variaveis;140849.87
9;Custos Variaveis;72555.8
10;Custos Variaveis;43337.15
11;Custos Variaveis;43337.15
12;Custos Variaveis;43337.15
13;Custos Variaveis;43337.15
14;Custos Variaveis;466642.1
14;Receita;1456000
14;Imposto;88308.08
15;Custos Variaveis;403892.16
16;Custos Variaveis;72555.8
17;Custos Variaveis;43337.15
18;Custos Variaveis;43337.15
19;Custos Variaveis;43337.15
20;Custos Variaveis;43337.15
21;Custos Variaveis;370642.1
21;Receita;1456000
21;Imposto;99060.08
22;Custos Variaveis;140849.87
23;Custos Variaveis;72555.8
24;Custos Variaveis;43337.15
25;Custos Variaveis;43337.15
26;Custos Variaveis;43337.15
27;Custos Variaveis;43337.15
28;Custos Variaveis;466642.1
28;Receita;1456000
28;Imposto;88308.08
